vote_choice,vote_mode,income,age
1,2,4,33
2,1,6,53
2,1,6,27
2,1,3,62
2,1,6,63
2,1,4,54
1,1,2,60
2,1,4,80
3,1,3,68
1,2,4,42
2,1,3,66
1,1,2,47
1,1,2,74
2,1,2,64
2,1,3,48
2,1,3,69
2,1,3,67
2,1,4,72
1,1,4,40
2,1,6,41
1,1,4,70
1,1,-2,33
1,1,4,30
1,1,8,29
2,1,5,24
2,1,-2,20
2,2,7,55
2,1,7,71
1,1,3,68
2,1,6,71
2,1,4,36
2,1,5,71
1,1,2,61
3,1,7,52
1,1,-2,28
3,1,6,36
1,2,-2,-2
1,1,4,48
1,1,8,36
2,2,2,70
1,1,6,51
2,1,5,72
1,1,6,50
2,2,4,79
2,1,4,71
2,1,7,56
2,2,3,84
2,1,6,51
2,1,3,69
1,1,6,26
2,1,2,74
1,1,6,25
2,1,3,38
2,1,-2,67
3,2,-1,64
1,1,7,45
2,1,1,74
2,1,3,23
1,1,3,33
2,1,6,48
1,1,6,30
2,2,4,52
2,1,2,77
2,2,-2,61
2,2,7,36
2,1,6,37
2,1,2,75
2,2,3,32
2,1,2,40
2,2,6,54
1,1,5,23
2,1,-2,18
2,1,4,78
2,1,2,-2
2,1,2,67
3,2,-2,81
3,1,3,61
2,2,8,61
1,2,6,38
3,1,5,80
1,1,5,51
1,1,2,65
2,1,3,40
1,1,4,20
1,1,3,44
1,1,6,77
2,1,2,82
3,1,2,64
1,1,2,48
1,1,4,57
1,1,-1,26
2,1,3,75
1,1,5,34
1,1,3,89
2,1,4,42
2,1,-2,73
2,1,-1,23
2,1,3,45
1,2,5,30
2,1,2,75
2,1,5,28
2,2,4,53
3,1,4,50
2,1,4,50
2,2,5,64
1,1,5,24
1,1,5,28
1,1,5,27
2,1,6,39
1,1,-2,31
2,1,3,68
1,1,4,74
2,1,3,73
3,1,6,66
2,1,4,51
2,1,7,42
2,2,6,63
2,1,3,51
2,2,6,39
1,1,-1,60
2,1,-2,75
2,1,6,27
2,1,-2,65
2,1,6,35
2,1,-2,44
2,2,2,87
2,1,6,54
2,1,2,66
2,1,-999,64
2,1,5,57
2,1,5,54
1,3,-1,41
2,2,-1,47
2,2,-1,80
2,1,3,47
2,1,3,66
2,1,5,57
2,1,8,56
2,2,-999,77
2,2,-999,-2
1,1,7,19
2,1,5,57
2,1,4,29
1,1,3,42
2,1,2,76
1,2,3,-2
1,1,-2,71
1,1,4,38
1,1,5,61
2,1,7,43
1,1,4,65
1,1,7,34
1,1,7,29
1,1,2,67
2,1,3,81
2,1,7,46
3,1,4,70
2,1,-1,71
2,1,-2,78
2,2,4,-2
2,2,4,63
2,1,2,68
3,1,-2,45
2,1,3,81
3,1,3,81
2,1,3,61
2,1,-2,-2
1,1,4,76
2,1,5,55
2,2,6,51
2,1,4,50
2,1,-2,47
2,1,3,77
2,1,1,71
2,1,6,66
2,1,-999,67
2,1,3,72
1,1,3,-2
1,2,4,73
2,2,3,72
1,1,3,27
2,2,6,35
2,1,6,46
1,1,-1,32
2,1,6,64
1,1,3,73
1,1,8,48
1,2,3,40
3,1,7,36
2,1,7,20
2,1,3,-2
2,1,2,30
2,1,3,50
1,1,3,73
2,1,7,26
2,1,-2,34
2,2,7,45
2,1,5,62
2,1,-2,73
2,1,8,49
2,1,7,73
3,1,7,46
3,2,2,88
1,1,3,24
2,2,2,55
2,2,-999,59
2,1,8,67
1,2,-1,52
2,1,4,73
2,2,4,74
2,1,2,29
2,1,3,30
1,1,6,27
2,1,4,72
2,2,6,44
2,1,-2,89
2,2,2,76
3,1,7,45
2,1,7,59
2,1,3,70
1,1,5,62
2,2,3,69
2,2,2,29
2,1,6,28
2,1,4,29
2,1,-999,73
2,1,-2,63
3,1,3,74
2,1,4,38
2,1,4,70
2,1,-1,71
2,1,2,65
3,1,2,63
2,1,4,53
2,1,5,51
2,1,5,50
2,1,7,56
2,1,4,59
1,1,-2,23
1,1,4,30
2,1,6,48
1,1,3,29
2,1,6,52
2,2,-2,31
2,2,8,53
2,1,7,69
2,1,-2,71
2,1,5,72
2,1,4,42
2,1,3,66
3,2,2,37
3,2,6,54
1,1,3,75
3,1,2,47
1,1,4,28
2,2,5,51
2,1,-999,74
2,1,7,60
2,2,3,72
3,1,3,77
2,1,2,85
2,2,-1,78
2,1,3,73
1,2,-2,53
2,1,-999,93
2,2,4,67
2,1,6,56
2,2,2,58
1,1,2,71
2,2,-999,66
1,1,4,-2
1,1,6,-2
2,1,7,49
2,2,7,39
1,1,6,33
1,1,2,91
2,1,4,57
2,1,3,27
3,2,6,22
2,2,6,54
2,1,4,80
